"date","state","fips","cases","deaths","r.cases","r.next_day.cases","next_day.cases","incremental.cases","rr.incremental.cases","r.incremental.cases","incremental.cases_contracted"
2020-02-05,"California",6,6,0,6,6,6,0,0,0,1
2020-02-05,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-05,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-05,"Washington",53,1,0,1,1,1,0,0,0,0
2020-02-05,"Wisconsin",55,1,0,NA,NA,1,0,NA,NA,0
2020-02-06,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-06,"California",6,6,0,6,6.14285714285714,6,0,0.142857142857143,0.142857142857143,1
2020-02-06,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-06,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-06,"Washington",53,1,0,1,1,1,0,0,0,0
2020-02-06,"Wisconsin",55,1,0,NA,NA,1,0,NA,NA,0
2020-02-07,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-07,"California",6,6,0,6.14285714285714,6.28571428571429,6,0,0.142857142857142,0.142857142857143,0
2020-02-07,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-07,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-07,"Washington",53,1,0,1,1,1,0,0,0,0
2020-02-07,"Wisconsin",55,1,0,NA,1,1,0,NA,NA,0
2020-02-08,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-08,"California",6,6,0,6.28571428571429,6.42857142857143,6,0,0.142857142857143,0.142857142857143,0
2020-02-08,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-08,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-08,"Washington",53,1,0,1,1,1,0,0,0,0
2020-02-08,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-09,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-09,"California",6,6,0,6.42857142857143,6.57142857142857,7,1,0.142857142857142,0.142857142857143,2
2020-02-09,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-09,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-09,"Washington",53,1,0,1,1,1,0,0,0,4
2020-02-09,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-10,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-10,"California",6,7,0,6.57142857142857,6.71428571428571,7,0,0.142857142857143,0.142857142857143,0
2020-02-10,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-10,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-10,"Washington",53,1,0,1,1,1,0,0,0,0
2020-02-10,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-11,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-11,"California",6,7,0,6.71428571428571,6.85714285714286,7,0,0.142857142857142,0.142857142857143,15
2020-02-11,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-11,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-11,"Washington",53,1,0,1,1,1,0,0,0,0
2020-02-11,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-12,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-12,"California",6,7,0,6.85714285714286,7,7,0,0.142857142857143,0.142857142857143,0
2020-02-12,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-12,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-12,"Texas",48,1,0,NA,NA,2,1,NA,NA,0
2020-02-12,"Washington",53,1,0,1,1,1,0,0,0,0
2020-02-12,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-13,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-13,"California",6,7,0,7,7,7,0,0,0,1
2020-02-13,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-13,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-13,"Texas",48,2,0,NA,NA,2,0,NA,NA,1
2020-02-13,"Washington",53,1,0,1,1,1,0,0,0,2
2020-02-13,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-14,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-14,"California",6,7,0,7,7,7,0,0,0,1
2020-02-14,"Illinois",17,2,0,2,2,2,0,0,0,1
2020-02-14,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-14,"Texas",48,2,0,NA,1.85714285714286,2,0,NA,NA,0
2020-02-14,"Washington",53,1,0,1,1,1,0,0,0,3
2020-02-14,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-15,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-15,"California",6,7,0,7,7,7,0,0,0,5
2020-02-15,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-15,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-15,"Texas",48,2,0,1.85714285714286,2,2,0,0.142857142857143,0.142857142857143,0
2020-02-15,"Washington",53,1,0,1,1,1,0,0,0,7
2020-02-15,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-16,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-16,"California",6,7,0,7,7.14285714285714,7,0,0.142857142857143,0.142857142857143,5
2020-02-16,"Illinois",17,2,0,2,2,2,0,0,0,1
2020-02-16,"Massachusetts",25,1,0,1,1,1,0,0,0,1
2020-02-16,"Texas",48,2,0,2,2,2,0,0,0,0
2020-02-16,"Washington",53,1,0,1,1,1,0,0,0,6
2020-02-16,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-17,"Arizona",4,1,0,1,1,1,0,0,0,1
2020-02-17,"California",6,7,0,7.14285714285714,7.42857142857143,7,0,0.285714285714286,0.285714285714286,7
2020-02-17,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-17,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-17,"Nebraska",31,10,0,NA,NA,10,0,NA,NA,0
2020-02-17,"Texas",48,2,0,2,2.28571428571429,2,0,0.285714285714286,0.285714285714286,0
2020-02-17,"Washington",53,1,0,1,1,1,0,0,0,9
2020-02-17,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-18,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-18,"California",6,7,0,7.42857142857143,7.71428571428571,7,0,0.285714285714286,0.285714285714286,10
2020-02-18,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-18,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-18,"Nebraska",31,10,0,NA,NA,10,0,NA,NA,0
2020-02-18,"Texas",48,2,0,2.28571428571429,2.57142857142857,2,0,0.285714285714286,0.285714285714286,1
2020-02-18,"Washington",53,1,0,1,1,1,0,0,0,15
2020-02-18,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-19,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-19,"California",6,7,0,7.71428571428571,8,8,1,0.285714285714286,0.285714285714286,12
2020-02-19,"Illinois",17,2,0,2,2,2,0,0,0,1
2020-02-19,"Massachusetts",25,1,0,1,1,1,0,0,0,1
2020-02-19,"Nebraska",31,10,0,NA,10.5714285714286,11,1,NA,NA,0
2020-02-19,"Texas",48,2,0,2.57142857142857,2.85714285714286,2,0,0.285714285714286,0.285714285714286,4
2020-02-19,"Washington",53,1,0,1,1,1,0,0,0,28
2020-02-19,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-20,"Arizona",4,1,0,1,1,1,0,0,0,1
2020-02-20,"California",6,8,0,8,8.57142857142857,9,1,0.571428571428571,0.571428571428571,14
2020-02-20,"Illinois",17,2,0,2,2,2,0,0,0,1
2020-02-20,"Massachusetts",25,1,0,1,1,1,0,0,0,5
2020-02-20,"Nebraska",31,11,0,10.5714285714286,10.8571428571429,11,0,0.285714285714286,0.285714285714286,1
2020-02-20,"Texas",48,2,0,2.85714285714286,4,4,2,1.14285714285714,1.14285714285714,3
2020-02-20,"Washington",53,1,0,1,1.57142857142857,1,0,0.571428571428571,0.571428571428571,11
2020-02-20,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-21,"Arizona",4,1,0,1,1,1,0,0,0,2
2020-02-21,"California",6,9,0,8.57142857142857,9.14285714285714,9,0,0.571428571428571,0.571428571428571,19
2020-02-21,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-21,"Massachusetts",25,1,0,1,1,1,0,0,0,5
2020-02-21,"Nebraska",31,11,0,10.8571428571429,11.2857142857143,11,0,0.428571428571429,0.428571428571429,0
2020-02-21,"Texas",48,4,0,4,5.14285714285714,4,0,1.14285714285714,1.14285714285714,0
2020-02-21,"Washington",53,1,0,1.57142857142857,2.14285714285714,1,0,0.571428571428571,0.571428571428571,24
2020-02-21,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-22,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-22,"California",6,9,0,9.14285714285714,11.8571428571429,9,0,2.71428571428572,2.71428571428571,12
2020-02-22,"Illinois",17,2,0,2,2,2,0,0,0,1
2020-02-22,"Massachusetts",25,1,0,1,1,1,0,0,0,15
2020-02-22,"Nebraska",31,11,0,11.2857142857143,11.7142857142857,11,0,0.428571428571427,0.428571428571429,2
2020-02-22,"Texas",48,4,0,5.14285714285714,6.28571428571429,4,0,1.14285714285714,1.14285714285714,4
2020-02-22,"Washington",53,1,0,2.14285714285714,2.71428571428571,1,0,0.571428571428572,0.571428571428571,31
2020-02-22,"Wisconsin",55,1,0,1,1,1,0,0,0,0
2020-02-23,"Arizona",4,1,0,1,1,1,0,0,0,1
2020-02-23,"California",6,9,0,11.8571428571429,14.4285714285714,11,2,2.57142857142857,2.57142857142857,60
2020-02-23,"Illinois",17,2,0,2,2,2,0,0,0,4
2020-02-23,"Massachusetts",25,1,0,1,1,1,0,0,0,13
2020-02-23,"Nebraska",31,11,0,11.7142857142857,12,12,1,0.285714285714286,0.285714285714286,0
2020-02-23,"Texas",48,4,0,6.28571428571429,7.42857142857143,10,6,1.14285714285714,1.14285714285714,1
2020-02-23,"Washington",53,1,0,2.71428571428571,3.28571428571429,5,4,0.571428571428571,0.571428571428571,38
2020-02-23,"Wisconsin",55,1,0,1,1,1,0,0,0,1
2020-02-24,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-24,"California",6,11,0,14.4285714285714,17,11,0,2.57142857142857,2.57142857142857,7
2020-02-24,"Illinois",17,2,0,2,2,2,0,0,0,8
2020-02-24,"Massachusetts",25,1,0,1,1,1,0,0,0,51
2020-02-24,"Nebraska",31,12,0,12,12.2857142857143,13,1,0.285714285714286,0.285714285714286,1
2020-02-24,"Texas",48,10,0,7.42857142857143,8.42857142857143,10,0,1,1,7
2020-02-24,"Washington",53,5,0,3.28571428571429,4.14285714285714,5,0,0.857142857142858,0.857142857142857,100
2020-02-24,"Wisconsin",55,1,0,1,1,1,0,0,0,1
2020-02-25,"Arizona",4,1,0,1,1,1,0,0,0,3
2020-02-25,"California",6,11,0,17,19.7142857142857,26,15,2.71428571428572,2.71428571428571,23
2020-02-25,"Illinois",17,2,0,2,2.14285714285714,2,0,0.142857142857143,0.142857142857143,6
2020-02-25,"Massachusetts",25,1,0,1,1,1,0,0,0,3
2020-02-25,"Nebraska",31,13,0,12.2857142857143,12.5714285714286,13,0,0.285714285714285,0.285714285714286,6
2020-02-25,"Texas",48,10,0,8.42857142857143,9.42857142857143,10,0,1,1,2
2020-02-25,"Utah",49,1,0,NA,NA,1,0,NA,NA,1
2020-02-25,"Washington",53,5,0,4.14285714285714,5.42857142857143,5,0,1.28571428571429,1.28571428571429,59
2020-02-25,"Wisconsin",55,1,0,1,1,1,0,0,0,3
2020-02-26,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-26,"California",6,26,0,19.7142857142857,23.1428571428571,26,0,3.42857142857143,3.42857142857143,50
2020-02-26,"Illinois",17,2,0,2.14285714285714,2.28571428571429,2,0,0.142857142857143,0.142857142857143,7
2020-02-26,"Massachusetts",25,1,0,1,1,1,0,0,0,13
2020-02-26,"Nebraska",31,13,0,12.5714285714286,12.8571428571429,13,0,0.285714285714286,0.285714285714286,1
2020-02-26,"Texas",48,10,0,9.42857142857143,10.4285714285714,10,0,1,1,8
2020-02-26,"Utah",49,1,0,NA,NA,1,0,NA,NA,2
2020-02-26,"Washington",53,5,0,5.42857142857143,7.71428571428571,5,0,2.28571428571429,2.28571428571429,81
2020-02-26,"Wisconsin",55,1,0,1,1,1,0,0,0,2
2020-02-27,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-27,"California",6,26,0,23.1428571428571,27,27,1,3.85714285714286,3.85714285714286,68
2020-02-27,"Illinois",17,2,0,2.28571428571429,2.57142857142857,2,0,0.285714285714286,0.285714285714286,14
2020-02-27,"Massachusetts",25,1,0,1,1.14285714285714,1,0,0.142857142857143,0.142857142857143,15
2020-02-27,"Nebraska",31,13,0,12.8571428571429,13,13,0,0.142857142857142,0.142857142857143,3
2020-02-27,"Texas",48,10,0,10.4285714285714,10.5714285714286,11,1,0.142857142857142,0.142857142857143,17
2020-02-27,"Utah",49,1,0,NA,1,1,0,NA,NA,0
2020-02-27,"Washington",53,5,0,7.71428571428571,10.2857142857143,7,2,2.57142857142857,2.57142857142857,92
2020-02-27,"Wisconsin",55,1,0,1,1,1,0,0,0,11
2020-02-28,"Arizona",4,1,0,1,1.14285714285714,1,0,0.142857142857143,0.142857142857143,3
2020-02-28,"California",6,27,0,27,31.8571428571429,28,1,4.85714285714286,4.85714285714286,61
2020-02-28,"Illinois",17,2,0,2.57142857142857,2.85714285714286,3,1,0.285714285714286,0.285714285714286,20
2020-02-28,"Massachusetts",25,1,0,1.14285714285714,1.28571428571429,1,0,0.142857142857143,0.142857142857143,15
2020-02-28,"Nebraska",31,13,0,13,13,13,0,0,0,2
2020-02-28,"Oregon",41,1,0,NA,NA,1,0,NA,NA,6
2020-02-28,"Texas",48,11,0,10.5714285714286,10.7142857142857,11,0,0.142857142857142,0.142857142857143,11
2020-02-28,"Utah",49,1,0,1,1,1,0,0,0,14
2020-02-28,"Washington",53,7,0,10.2857142857143,14.1428571428571,10,3,3.85714285714286,3.85714285714286,98
2020-02-28,"Wisconsin",55,1,0,1,1,1,0,0,0,8
2020-02-29,"Arizona",4,1,0,1.14285714285714,1.28571428571429,1,0,0.142857142857143,0.142857142857143,1
2020-02-29,"California",6,28,0,31.8571428571429,36,33,5,4.14285714285714,4.14285714285714,97
2020-02-29,"Illinois",17,3,0,2.85714285714286,3.14285714285714,3,0,0.285714285714286,0.285714285714286,28
2020-02-29,"Massachusetts",25,1,0,1.28571428571429,1.42857142857143,1,0,0.142857142857143,0.142857142857143,26
2020-02-29,"Nebraska",31,13,0,13,13,13,0,0,0,2
2020-02-29,"Oregon",41,1,0,NA,NA,2,1,NA,NA,3
2020-02-29,"Texas",48,11,0,10.7142857142857,11,11,0,0.285714285714286,0.285714285714286,11
2020-02-29,"Utah",49,1,0,1,1,1,0,0,0,8
2020-02-29,"Washington",53,10,1,14.1428571428571,20.1428571428571,17,7,6,6,66
2020-02-29,"Wisconsin",55,1,0,1,1,1,0,0,0,6
2020-03-01,"Arizona",4,1,0,1.28571428571429,1.42857142857143,1,0,0.142857142857143,0.142857142857143,5
2020-03-01,"California",6,33,0,36,41.8571428571429,38,5,5.85714285714285,5.85714285714286,110
2020-03-01,"Florida",12,2,0,NA,NA,2,0,NA,NA,32
2020-03-01,"Illinois",17,3,0,3.14285714285714,3.57142857142857,4,1,0.428571428571429,0.428571428571429,10
2020-03-01,"Massachusetts",25,1,0,1.42857142857143,1.71428571428571,2,1,0.285714285714286,0.285714285714286,33
2020-03-01,"Nebraska",31,13,0,13,13,13,0,0,0,2
2020-03-01,"New York",36,1,0,NA,NA,1,0,NA,NA,218
2020-03-01,"Oregon",41,2,0,NA,1.71428571428571,2,0,NA,NA,7
2020-03-01,"Rhode Island",44,2,0,NA,NA,2,0,NA,NA,1
2020-03-01,"Texas",48,11,0,11,11.8571428571429,11,0,0.857142857142858,0.857142857142857,7
2020-03-01,"Utah",49,1,0,1,1,1,0,0,0,11
2020-03-01,"Washington",53,17,3,20.1428571428571,30.1428571428571,23,6,10,10,119
2020-03-01,"Wisconsin",55,1,0,1,1,1,0,0,0,14
2020-03-02,"Arizona",4,1,0,1.42857142857143,1.71428571428571,2,1,0.285714285714286,0.285714285714286,2
2020-03-02,"California",6,38,0,41.8571428571429,49.5714285714286,45,7,7.71428571428572,7.71428571428571,144
2020-03-02,"Florida",12,2,0,NA,NA,3,1,NA,NA,69
2020-03-02,"Georgia",13,2,0,NA,NA,2,0,NA,NA,24
2020-03-02,"Illinois",17,4,0,3.57142857142857,4.14285714285714,4,0,0.571428571428572,0.571428571428571,55
2020-03-02,"Massachusetts",25,2,0,1.71428571428571,2.71428571428571,2,0,1,1,21
2020-03-02,"Nebraska",31,13,0,13,13.1428571428571,13,0,0.142857142857142,0.142857142857143,3
2020-03-02,"New Hampshire",33,1,0,NA,NA,2,1,NA,NA,9
2020-03-02,"New York",36,1,0,NA,NA,2,1,NA,NA,425
2020-03-02,"Oregon",41,2,0,1.71428571428571,1.85714285714286,2,0,0.142857142857143,0.142857142857143,20
2020-03-02,"Rhode Island",44,2,0,NA,NA,2,0,NA,NA,2
2020-03-02,"Texas",48,11,0,11.8571428571429,13,11,0,1.14285714285714,1.14285714285714,19
2020-03-02,"Utah",49,1,0,1,1.28571428571429,1,0,0.285714285714286,0.285714285714286,11
2020-03-02,"Washington",53,23,6,30.1428571428571,41.4285714285714,32,9,11.2857142857143,11.2857142857143,114
2020-03-02,"Wisconsin",55,1,0,1,1,1,0,0,0,25
2020-03-03,"Arizona",4,2,0,1.71428571428571,2.28571428571429,2,0,0.571428571428571,0.571428571428571,8
2020-03-03,"California",6,45,0,49.5714285714286,59.8571428571429,55,10,10.2857142857143,10.2857142857143,161
2020-03-03,"Florida",12,3,0,NA,4.71428571428571,3,0,NA,NA,116
2020-03-03,"Georgia",13,2,0,NA,NA,2,0,NA,NA,51
2020-03-03,"Illinois",17,4,0,4.14285714285714,4.57142857142857,4,0,0.428571428571428,0.428571428571429,127
2020-03-03,"Massachusetts",25,2,0,2.71428571428571,4.42857142857143,2,0,1.71428571428571,1.71428571428571,38
2020-03-03,"Nebraska",31,13,0,13.1428571428571,13.2857142857143,13,0,0.142857142857144,0.142857142857143,7
2020-03-03,"New Hampshire",33,2,0,NA,NA,2,0,NA,NA,13
2020-03-03,"New York",36,2,0,NA,24.2857142857143,11,9,NA,NA,1012
2020-03-03,"North Carolina",37,1,0,NA,NA,1,0,NA,NA,24
2020-03-03,"Oregon",41,2,0,1.85714285714286,2.57142857142857,2,0,0.714285714285714,0.714285714285714,8
2020-03-03,"Rhode Island",44,2,0,NA,2.28571428571429,2,0,NA,NA,10
2020-03-03,"Texas",48,11,0,13,14.1428571428571,12,1,1.14285714285714,1.14285714285714,60
2020-03-03,"Utah",49,1,0,1.28571428571429,1.57142857142857,1,0,0.285714285714286,0.285714285714286,14
2020-03-03,"Washington",53,32,10,41.4285714285714,55.7142857142857,47,15,14.2857142857143,14.2857142857143,118
2020-03-03,"Wisconsin",55,1,0,1,1,1,0,0,0,34
2020-03-04,"Arizona",4,2,0,2.28571428571429,2.85714285714286,2,0,0.571428571428572,0.571428571428571,19
2020-03-04,"California",6,55,1,59.8571428571429,71.1428571428571,67,12,11.2857142857143,11.2857142857143,174
2020-03-04,"Florida",12,3,0,4.71428571428571,6.28571428571429,4,1,1.57142857142857,1.57142857142857,108
2020-03-04,"Georgia",13,2,0,NA,4.14285714285714,2,0,NA,NA,89
2020-03-04,"Illinois",17,4,0,4.57142857142857,5.14285714285714,5,1,0.571428571428572,0.571428571428571,134
2020-03-04,"Massachusetts",25,2,0,4.42857142857143,8.28571428571429,3,1,3.85714285714286,3.85714285714286,72
2020-03-04,"Nebraska",31,13,0,13.2857142857143,13.7142857142857,13,0,0.428571428571427,0.428571428571429,4
2020-03-04,"New Hampshire",33,2,0,NA,2.42857142857143,2,0,NA,NA,5
2020-03-04,"New Jersey",34,1,0,NA,NA,2,1,NA,NA,308
2020-03-04,"New York",36,11,0,24.2857142857143,39.2857142857143,22,11,15,15,1774
2020-03-04,"North Carolina",37,1,0,NA,NA,1,0,NA,NA,38
2020-03-04,"Oregon",41,2,0,2.57142857142857,4.14285714285714,2,0,1.57142857142857,1.57142857142857,13
2020-03-04,"Rhode Island",44,2,0,2.28571428571429,2.42857142857143,2,0,0.142857142857143,0.142857142857143,11
2020-03-04,"Texas",48,12,0,14.1428571428571,15.8571428571429,16,4,1.71428571428572,1.71428571428571,82
2020-03-04,"Utah",49,1,0,1.57142857142857,1.85714285714286,1,0,0.285714285714286,0.285714285714286,15
2020-03-04,"Washington",53,47,11,55.7142857142857,73.4285714285714,75,28,17.7142857142857,17.7142857142857,202
2020-03-04,"Wisconsin",55,1,0,1,1,1,0,0,0,49
2020-03-05,"Arizona",4,2,0,2.85714285714286,3.57142857142857,3,1,0.714285714285714,0.714285714285714,23
2020-03-05,"California",6,67,1,71.1428571428571,90.2857142857143,81,14,19.1428571428572,19.1428571428571,216
2020-03-05,"Colorado",8,2,0,NA,NA,8,6,NA,NA,86
2020-03-05,"Florida",12,4,0,6.28571428571429,8,7,3,1.71428571428571,1.71428571428571,130
2020-03-05,"Georgia",13,2,0,4.14285714285714,6.28571428571429,3,1,2.14285714285714,2.14285714285714,200
2020-03-05,"Illinois",17,5,0,5.14285714285714,6.14285714285714,6,1,1,1,163
2020-03-05,"Maryland",24,3,0,NA,NA,3,0,NA,NA,42
2020-03-05,"Massachusetts",25,3,0,8.28571428571429,13.8571428571429,8,5,5.57142857142857,5.57142857142857,85
2020-03-05,"Nebraska",31,13,0,13.7142857142857,14.1428571428571,14,1,0.428571428571429,0.428571428571429,6
2020-03-05,"Nevada",32,2,0,NA,NA,2,0,NA,NA,66
2020-03-05,"New Hampshire",33,2,0,2.42857142857143,2.85714285714286,2,0,0.428571428571429,0.428571428571429,11
2020-03-05,"New Jersey",34,2,0,NA,NA,4,2,NA,NA,161
2020-03-05,"New York",36,22,0,39.2857142857143,59.4285714285714,44,22,20.1428571428571,20.1428571428571,2952
2020-03-05,"North Carolina",37,1,0,NA,2.28571428571429,2,1,NA,NA,40
2020-03-05,"Oregon",41,2,0,4.14285714285714,5.71428571428571,2,0,1.57142857142857,1.57142857142857,27
2020-03-05,"Rhode Island",44,2,0,2.42857142857143,2.57142857142857,3,1,0.142857142857143,0.142857142857143,0
2020-03-05,"Tennessee",47,1,0,NA,NA,1,0,NA,NA,82
2020-03-05,"Texas",48,16,0,15.8571428571429,17.7142857142857,19,3,1.85714285714286,1.85714285714286,138
2020-03-05,"Utah",49,1,0,1.85714285714286,2.14285714285714,3,2,0.285714285714286,0.285714285714286,32
2020-03-05,"Washington",53,75,11,73.4285714285714,95.7142857142857,86,11,22.2857142857143,22.2857142857143,176
2020-03-05,"Wisconsin",55,1,0,1,1.14285714285714,1,0,0.142857142857143,0.142857142857143,61
2020-03-06,"Arizona",4,3,0,3.57142857142857,4.14285714285714,5,2,0.571428571428572,0.571428571428571,34
2020-03-06,"California",6,81,1,90.2857142857143,109.428571428571,100,19,19.1428571428571,19.1428571428571,261
2020-03-06,"Colorado",8,8,0,NA,NA,8,0,NA,NA,111
2020-03-06,"Florida",12,7,2,8,10.8571428571429,12,5,2.85714285714286,2.85714285714286,200
2020-03-06,"Georgia",13,3,0,6.28571428571429,9.14285714285714,7,4,2.85714285714286,2.85714285714286,70
2020-03-06,"Hawaii",15,1,0,NA,NA,1,0,NA,NA,11
2020-03-06,"Illinois",17,6,0,6.14285714285714,8.28571428571429,6,0,2.14285714285714,2.14285714285714,168
2020-03-06,"Indiana",18,1,0,NA,NA,1,0,NA,NA,47
2020-03-06,"Kentucky",21,1,0,NA,NA,1,0,NA,NA,21
2020-03-06,"Maryland",24,3,0,NA,NA,3,0,NA,NA,45
2020-03-06,"Massachusetts",25,8,0,13.8571428571429,26.7142857142857,13,5,12.8571428571429,12.8571428571429,112
2020-03-06,"Minnesota",27,1,0,NA,NA,1,0,NA,NA,23
2020-03-06,"Nebraska",31,14,0,14.1428571428571,14.7142857142857,14,0,0.571428571428571,0.571428571428571,8
2020-03-06,"Nevada",32,2,0,NA,NA,2,0,NA,NA,0
